"locus"	"product"	"p_id"	"AP"	"GP"
Bd0908	DNA-binding protein	NP_967858.1	51.1790131	151.3979673
Bd0909	putative redox protein	NP_967859.1	58.35083372	239.7082067
Bd0910	putative hydrolase	NP_967860.1	19.37012566	72.10540613
Bd0911	putative enzyme of sugar metabolism	NP_967861.1	3.777174504	23.90294213
Bd0912	hypothetical protein	NP_967862.1	0.975541438	167.501033
Bd0913	hypothetical protein	NP_967863.1	0.118639168	9.141844424
Bd0914	putative DNA polymerase epsilon subunit	NP_967864.1	0	3.628530115
Bd0915	putative ribonucleotide transport atp-binding	NP_967865.1	0.79624232	13.33807513
Bd0916	cation transporting ATPase	NP_967866.1	2.682738954	3.26831284
Bd0917	small heat shock protein	NP_967867.1	3.924337147	15.33878639
Bd0919	phage shock protein	NP_967868.1	0	10.62845042
Bd0920	hypothetical protein	NP_967869.1	1.266976773	4.244695606
Bd0921	hypothetical protein	NP_967870.1	0.285338962	9.559583589
Bd0922	periplasmic serine protease	NP_967871.1	0	0.707449268
Bd0923	putative collagenase	NP_967872.1	0.484253142	10.54541565
Bd0925	hypothetical protein	NP_967873.1	0	3.589928731
Bd0926	putative methyltransferase	NP_967874.1	0.248090279	9.142823417
Bd0927	putative RNA methylase	NP_967875.1	0.239820603	1.606920479
Bd0928	malate dehydrogenase	NP_967876.2	8.993272629	2084.979322
Bd0929	hypothetical protein	NP_967877.1	1.291341711	102.3896767
Bd0930	ThiJ/PfpI family protein	NP_967878.1	2.351548329	15.75657435
Bd0931	MerR family transcriptional regulator	NP_967879.1	1246.061439	106.6787854
Bd0932	hypothetical protein	NP_967880.1	1384.570529	20.43174281
Bd0933	hypothetical protein	NP_967881.1	393.4824281	25.81087569
Bd0934	putative secreted nuclease	NP_967882.1	6.904512535	208.1869153
Bd0936	hypothetical protein	NP_967883.1	0	368.5345257
Bd0937	hypothetical protein	NP_967884.1	0.455767663	38.1734503
Bd0938	hypothetical protein	NP_967885.1	0	48.90627546
Bd0939	hypothetical protein	NP_967886.1	1.514656443	560.7306726
Bd0940	30S ribosomal protein S18	NP_967887.1	20.14493069	14289.27254
Bd0941	50S ribosomal protein L24	NP_967888.1	5.788773187	7016.70139
Bd0942	hypothetical protein	NP_967889.1	5.121592548	915.1275951
Bd0943	putative amidohydrolase	NP_967890.1	5.454403616	146.1891555
Bd0944	hypothetical protein	NP_967891.1	7.027301403	129.4878944
Bd0945	electron transfer flavoprotein-ubiquinone	NP_967892.1	6.088709621	120.6439262
Bd0946	putative N6-adenine-specific DNA methylase	NP_967893.1	5.909179669	189.8737239
Bd0947	putative branched-chain amino acid	NP_967894.1	0	223.2773719
Bd0948	putative polyketide synthase	NP_967895.1	1.624591185	261.2541683
Bd0949	hypothetical protein	NP_967896.1	0.825611913	633.4164414
Bd0950	UDP glucosamine N-acyltransferase	NP_967897.1	0	93.84235047
Bd0952	hypothetical protein	NP_967898.1	1.955818514	301.4145987
Bd0953	translation initiation factor IF-1	NP_967899.1	2.759579546	3185.004441
Bd0954	hypothetical protein	NP_967900.1	1.934532397	1096.615208
Bd0955	hypothetical protein	NP_967901.1	0	1128.359474
Bd0956	hypothetical protein	NP_967902.1	0	11.14933813
Bd0957	hypothetical protein	NP_967903.1	0.193329469	0
Bd0958	putative Zn-dependent protease	NP_967904.1	60.04320594	148.6835277
Bd0959	putative inactivated Zn-dependent peptidase|	NP_967905.1	54.85896304	119.765792
Bd0961	desiccation-related protein	NP_967906.1	35.15222805	131.3576607
Bd0962	hypothetical protein	NP_967907.1	3.772458931	55.61028176
Bd0963	putative hydrolase	NP_967908.1	0.724637795	83.75639477
Bd0964	DNA topoisomerase I	NP_967909.1	0.885491459	211.0010199
Bd0965	hypothetical protein	NP_967910.1	1.678744224	109.1099006
Bd0967	tail-specific protease	NP_967911.1	149.443106	213.7871801
Bd0968	hypothetical protein	NP_967912.1	11.37213829	21.77118069
Bd0969	hypothetical protein	NP_967913.1	0.570139548	1.910113023
Bd0970	putative secreted esterase	NP_967914.1	0.110686432	0.741655606
Bd0972	3-methyl-2-oxobutanoate dehydrogenase	NP_967915.1	1.603044882	121.7338167
Bd0974	3-methyl-2-oxobutanoate dehydrogenase	NP_967916.1	1.430747918	163.9332796
Bd0975	hypothetical protein	NP_967917.1	0.359730905	421.8166259
Bd0976	putative helicase	NP_967918.1	0	30.49276813
Bd0977	hypothetical protein	NP_967919.1	0.382983473	34.64349475
Bd0978	putative hydrolase	NP_967920.1	72.85116444	39.26343436
Bd0979	hypothetical protein	NP_967921.1	3.357488448	179.9750937
Bd0980	divalent cation tolerance protein	NP_967922.1	8.633541724	189.6166166
Bd0981	Mg2+ and Co2+ transporter	NP_967923.1	2.902727765	377.3253045
Bd0982	dienelactone hydrolase family protein	NP_967924.1	38.68133079	39.77586434
Bd0983	hypothetical protein	NP_967925.1	8.887469422	7.940077663
Bd0984	hypothetical protein	NP_967926.1	23.29685862	9.18240274
Bd0986	hypothetical protein	NP_967927.1	23.54602288	8.765020797
Bd0987	elongation factor G	NP_967928.1	168.6385734	4001.917735
Bd0988	ATP-dependent DNA helicase RecQ	NP_967929.1	0.420562227	78.90348575
Bd0989	L-sorbosone dehydrogenase	NP_967930.1	1.688122683	39.58949338
Bd0990	leucyl/phenylalanyl-tRNA--protein transferase	NP_967931.1	13.157725	97.28383443
Bd0991	hypothetical protein	NP_967932.1	66.97670255	36.52845007
Bd0992	cell wall hydrolase	NP_967933.1	47.64003879	27.36107843
Bd0993	putative secreted protein	NP_967934.1	3.420837287	6.367043409
Bd0994	serine protease SplA	NP_967935.1	2.759579546	4.622647955
Bd0995	ABC transporter ATP-binding protein	NP_967936.1	1.33410137	96.09597304
Bd0996	hypothetical protein	NP_967937.1	0.205980886	14.49185954
Bd0997	hypothetical protein	NP_967938.1	1.04921514	158.1812347
Bd0998	hypothetical protein	NP_967939.1	0.325969752	91.73487786
Bd0999	outer membrane efflux protein	NP_967940.1	0.203484148	33.40446815
Bd1000	hypothetical protein	NP_967941.1	0	80.52862857
Bd1001	acriflavin resistance protein	NP_967942.1	1.150043617	132.2842625
Bd1002	redox-sensing activator of soxS	NP_967943.1	0	29.90092538
Bd1003	hypothetical protein	NP_967944.1	1.651223827	8.298031984
Bd1004	hypothetical protein	NP_967945.1	40.36824632	66.96544099
Bd1005	hypothetical protein	NP_967946.1	61.94566187	116.4213887
Bd1006	transcriptional regulator	NP_967947.1	178.6012226	130.4531929
Bd1007	hypothetical protein	NP_967948.1	2167.527763	52.20272055
Bd1008	thiamine-monophosphate kinase	NP_967949.1	3.789015177	34.90896214
Bd1010	polyphosphate kinase	NP_967950.1	20.36660806	147.6068083
Bd1011	phosphohistidine phosphatase	NP_967951.1	18.47611986	165.7315027
Bd1012	hypothetical protein	NP_967952.1	3.691479446	16.65812853
Bd1013	hypothetical protein	NP_967953.1	73.02537375	37.11986307
Bd1014	hypothetical protein	NP_967954.1	115.2492116	102.6111917
Bd1015	hypothetical protein	NP_967955.1	8.511942545	153.9927738
Bd1016	phosphate transport system regulatory protein	NP_967956.1	38.49920087	580.4196772
Bd1017	DNA-binding response regulator PhoB	NP_967957.1	31.19790151	223.9734297
Bd1018	phosphate regulon sensor protein phoR	NP_967958.1	4.214420646	195.5534818
Bd1019	hypothetical protein	NP_967959.1	4.408823215	92.03271837
Bd1020	putative DNA-dependent DNA polymerase	NP_967960.1	4.332243159	94.34178299
Bd1021	putative fibronectin/fibrinogen-binding	NP_967961.1	10.52704217	88.97224792
Bd1023	ATP-binding protein of ABC transporter	NP_967962.1	1.918564828	305.3148911
Bd1024	ABC-type transport system permease protein	NP_967963.1	0.780811267	130.795853
Bd1025	ABC-type transport system involved in gliding	NP_967964.1	0.393455678	50.7498128
Bd1026	hypothetical protein	NP_967965.1	0.614174716	90.5362514
Bd1027	galactokinase	NP_967966.1	19.1711576	160.0609311
Bd1028	hypothetical protein	NP_967967.1	56.95930882	235.0313724
Bd1029	methyltransferase	NP_967968.1	4.088454568	98.3719954
Bd1030	magnesium and cobalt transport protein	NP_967969.1	5.541485788	69.89324027
Bd1031	putative phospholipase/carboxylesterase	NP_967970.1	1.767099183	101.8280135
Bd1032	hypothetical protein	NP_967971.1	0.388148954	4.551393265
Bd1034	hypothetical protein	NP_967972.1	63.68940483	304.5539538
Bd1035	putative lipoprotein LipL45	NP_967973.1	10.56288501	179.4695457
Bd1036	preprotein translocase subunit SecG	NP_967974.1	3.1087856	477.0173201
Bd1037	hypothetical protein	NP_967975.1	0	34.39014529
Bd1038	hypothetical protein	NP_967976.1	0.254999123	6.834497229
Bd1040	hypothetical protein	NP_967977.1	0	235.4325354
Bd1041	DNA polymerase III delta' subunit	NP_967978.1	0.959282414	109.2705926
Bd1042	TatD related DNase	NP_967979.1	56.82908463	397.8535024
Bd1043	trypsin	NP_967980.1	9.128171719	11.59995721
Bd1044	hypothetical protein	NP_967981.1	0.62691693	0
Bd1045	hypothetical protein	NP_967982.1	1.564654811	3.276245638
Bd1046	hypothetical protein	NP_967983.1	1.111751142	7.449300236
Bd1047	hypothetical protein	NP_967984.1	35.66028103	32.48774013
Bd1049	glyceraldehyde-3-phosphate dehydrogenase	NP_967985.1	1.498878772	345.4879031
Bd1050	phosphoglycerate kinase	NP_967986.1	2.255029555	312.2702185
Bd1051	hypothetical protein	NP_967987.1	13.31896244	330.481125
Bd1052	putative phosphoenolpyruvate carboxylase	NP_967988.1	72.24388937	97.74509399
Bd1053	hypothetical protein	NP_967989.1	138.2650755	54.02795628
Bd1054	asparaginyl-tRNA synthetase	NP_967990.2	5.861132851	483.6345796
Bd1056	threonine ammonia-lyase	NP_967991.1	496.8916691	141.1623956
Bd1057	ABC transporter periplasmic-binding protein	NP_967992.1	81.81729529	58.73760524
Bd1058	hypothetical protein	NP_967993.1	434.9701452	198.1069128
Bd1059	N-methylhydantoinase B	NP_967994.1	0.431368966	67.92421898
Bd1060	hydantoin utilization protein	NP_967995.1	0	104.7526876
Bd1061	histidinol-phosphate aminotransferase	NP_967996.1	0	313.9310867
Bd1062	hypothetical protein	NP_967997.1	0.924079389	421.0426504
Bd1063	hypothetical protein	NP_967998.1	0.687540297	20.7309195
Bd1064	hypothetical protein	NP_967999.1	0	3.131817176
Bd1065	hypothetical protein	NP_968000.1	0	17.76070004
Bd1066	30S ribosomal protein S1	NP_968001.1	6.929044952	12206.0709
Bd1067	signal peptide peptidase	NP_968002.1	1.247364129	92.98248842
Bd1068	hypothetical protein	NP_968003.1	4.443734711	34.73783978
Bd1069	hit family hydrolase	NP_968004.1	0	24.54205823
Bd1071	integral membrane protein	NP_968005.1	2.466726207	57.84913726
Bd1072	hypothetical protein	NP_968006.1	11.37213829	2291.416768
Bd1073	hypothetical protein	NP_968007.1	0.786911355	772.4516961
Bd1074	putative iron ABC transporter	NP_968008.1	40.77674792	290.5564674
Bd1075	hypothetical protein	NP_968009.1	449.7824615	54.72215687
Bd1076	flagellar protein FliL	NP_968010.1	2789.298095	23.96118111
Bd1077	protease	NP_968011.1	142.9988121	9.393774965
Bd1078	M16 family peptidase	NP_968012.1	20.39992981	17.79816987
Bd1079	hypothetical protein	NP_968013.1	439.8309867	157.478207
Bd1080	LysR family transcriptional regulator	NP_968014.1	174.0145764	74.84372817
Bd1081	methyl-accepting chemotaxis protein	NP_968015.1	107.0695135	14.34840806
Bd1082	hypothetical protein	NP_968016.1	32.29340034	4379.164971
Bd1084	putative metalloprotease	NP_968017.1	1.782737229	134.3840578
Bd1085	hypothetical protein	NP_968018.1	1.637799243	16.46113662
Bd1086	hypothetical protein	NP_968019.1	1.503353037	20.14646571
Bd1087	hypothetical protein	NP_968020.1	0	108.7097881
Bd1089	hypothetical protein	NP_968021.1	2.434432712	6.11697826
Bd1090	hypothetical protein	NP_968022.1	0	0
Bd1091	hypothetical protein	NP_968023.1	0	0
Bd1093	hypothetical protein	NP_968024.1	0.714359244	17.94964365
Bd1094	GTP cyclohydrolase II	NP_968025.1	1.598804023	60.70588478
Bd1096	hypothetical protein	NP_968026.1	0	35.75664113
Bd1097	transcription termination factor nusB	NP_968027.1	0	91.80714798
Bd1098	transcriptional regulator NrdR	NP_968028.2	0.516536684	268.2321108
Bd1100	hypothetical protein	NP_968029.1	1.474019319	31.27615958
Bd1101	putative sun protein	NP_968030.1	1.271775927	14.48663159
Bd1102	hypothetical protein	NP_968031.1	3.302447654	29.50411372
Bd1103	hypothetical protein	NP_968032.1	90.12205835	728.1887015
Bd1104	hypothetical protein	NP_968033.1	12310.51801	25.8675004
Bd1105	prolipoprotein diacylglyceryl transferase	NP_968034.1	0.570677923	131.9222535
Bd1106	hypothetical protein	NP_968035.1	1.955818514	209.6797208
Bd1107	histidyl-tRNA synthetase	NP_968036.1	2.184916561	424.5616364
Bd1108	hypothetical protein	NP_968037.1	18.97710862	1714.164955
Bd1110	hypothetical protein	NP_968038.1	35.1929512	829.4032932
Bd1111	peptide ABC transporter ATPase	NP_968039.1	20.58286397	186.3329095
Bd1112	peptide ABC transporter permease	NP_968040.1	7.637888413	139.1395126
Bd1113	Iron-regulated protein frpA	NP_968041.1	3.489673033	12.22271798
Bd1114	hypothetical protein	NP_968042.1	4.24103804	0
Bd1115	hypothetical protein	NP_968043.1	88.13407177	9.373702797
Bd1116	adenylate cyclase	NP_968044.1	52.34379532	1.106404265
Bd1117	hypothetical protein	NP_968045.1	26.02365582	1.254473237
Bd1118	hypothetical protein	NP_968046.1	11.67338699	3.910882624
Bd1119	hypothetical protein	NP_968047.1	0	115.5410758
Bd1120	hypothetical protein	NP_968048.1	6.517477576	262.0225629
Bd1121	esterase/lipase/thioesterase family protein	NP_968049.1	5.412070931	96.70303542
Bd1122	hypothetical protein	NP_968050.1	0.419686056	37.96349633
Bd1123	putative membrane-bound mannosyltransferase	NP_968051.1	0.794671822	21.29882766
Bd1124	putative soluble lytic transglycosylase	NP_968052.1	1.897907333	28.15895645
Bd1125	membrane-bound lytic murein transglycosylase D	NP_968053.1	71.09975537	638.4078573
Bd1126	putative methyl-accepting chemotaxis protein	NP_968054.1	2.09843028	33.04230236
Bd1127	LysR family regulatory protein	NP_968055.1	1.04921514	29.29282124
Bd1128	hypothetical protein	NP_968056.1	3.765407605	15.76884583
Bd1129	hypothetical protein	NP_968057.1	20.44411283	0.556853631
Bd1130	putative YapH protein	NP_968058.1	3003.591625	1.582165509
Bd1131	branched-chain amino acid aminotransferase	NP_968059.1	983.1971088	65.40527457
Bd1134	mrp protein	NP_968060.1	5.658688396	128.9147441
Bd1136	hypothetical protein	NP_968061.1	2703.018021	245.8588334
Bd1137	hypothetical protein	NP_968062.1	0	0
Bd1139	hypothetical protein	NP_968063.1	56.78436839	101.9154264
Bd1140	hypothetical protein	NP_968064.1	43.94028506	24.91265978
Bd1141	hypothetical protein	NP_968065.1	50.63853692	0.616916455
Bd1144	hypothetical protein	NP_968066.1	5.109221552	26.8984515
Bd1145	acriflavin resistance protein	NP_968067.1	0.779300994	17.94964365
Bd1146	hypothetical protein	NP_968068.1	2.549991227	42.71560768
Bd1147	glycyl-tRNA synthetase	NP_968069.1	2.478682747	1475.88636
Bd1148	hypothetical protein	NP_968070.1	0	54.23356618
Bd1149	hypothetical protein	NP_968071.1	0	11.34296809
Bd1150	pyruvate phosphate dikinase	NP_968072.1	3.231211228	318.0422701
Bd1151	hypothetical protein	NP_968073.1	0	143.7301095
Bd1152	hypothetical protein	NP_968074.1	0	0
Bd1153	paraquat-inducible protein A	NP_968075.1	0	0
Bd1154	hypothetical protein	NP_968076.1	0.19749932	1.323346277
Bd1155	ankyrin domain-containing protein	NP_968077.1	1.251237931	4.191966468
Bd1156	hypothetical protein	NP_968078.1	9.955343655	23.54325354
Bd1158	chromosome segregation SMC protein	NP_968079.1	3.031845756	1680.494865
Bd1159	hypothetical protein	NP_968080.1	4166.994529	15.04152309
Bd1160	hypothetical protein	NP_968081.1	820.3144819	3.002253565
Bd1161	hypothetical protein	NP_968082.1	973.2412027	10.09475686
Bd1162	hypothetical protein	NP_968083.1	77.54906947	53.75362312
Bd1163	transcriptional regulator	NP_968084.1	216.7769715	408.3674001
Bd1164	putative ribosomal protein N-acetyltransferase	NP_968085.1	156.8037848	379.4069543
Bd1166	hypothetical protein	NP_968086.1	32.92921363	129.789731
Bd1167	microtubule binding protein	NP_968087.1	931.5586018	34.8422146
Bd1168	hypothetical protein	NP_968088.1	1353.779365	23.46529574
Bd1169	large Ala/Glu-rich protein	NP_968089.1	526.5555468	14.43196506
Bd1170	hypothetical protein	NP_968090.1	134.7861305	17.932301
Bd1171	hypothetical protein	NP_968091.1	17.30511667	13.37920575
Bd1172	hypothetical protein	NP_968092.1	2.342433801	3.923875589
Bd1173	signal recognition particle-docking protein	NP_968093.1	3.249182369	182.5429765
Bd1174	hypothetical protein	NP_968094.1	2.055605172	96.41522877
Bd1175	nucleoside-diphosphate-sugar epimerase	NP_968095.1	0.441774796	56.24221678
Bd1176	hypothetical protein	NP_968096.1	1.546635754	18.7833891
Bd1177	hypothetical protein	NP_968097.1	1.848158779	2.476721473
Bd1179	hypothetical protein	NP_968098.1	4.156114341	7.371552685
Bd1180	hypothetical protein	NP_968099.1	0.203484148	2.726895359
Bd1181	putative periplasmic protein YcbB	NP_968100.1	1.916905169	30.35912048
Bd1183	hypothetical protein	NP_968101.1	870.0832564	53.59552423
Bd1184	hypothetical protein	NP_968102.1	4222.766055	256.9441376
Bd1185	hypothetical protein	NP_968103.1	211.2283995	4707.964981
Bd1186	hypothetical protein	NP_968104.1	46.12128868	1266.337913
Bd1188	HD superfamily hydrolase	NP_968105.1	16.01560582	408.5641495
Bd1189	tyrosyl-tRNA synthetase	NP_968106.1	18.1105904	434.6996952
Bd1190	hypothetical protein	NP_968107.1	20.21981891	314.8727824
Bd1192	putative hydrolase	NP_968108.1	19.77187642	167.4768233
Bd1193	scaffold protein for iron-sulfur cluster	NP_968109.1	460.5598284	2633.602934
Bd1194	putative aminotransferase	NP_968110.1	1.771539131	74.6127901
Bd1195	hypothetical protein	NP_968111.1	1.703988498	3.171553578
Bd1196	ribonucleotide-diphosphate reductase alpha	NP_968112.1	21.32992661	4.411154257
Bd1198	30S ribosomal protein S1	NP_968113.1	17.16610635	296.0116673
Bd1199	hypothetical protein	NP_968114.1	175.0297257	69.15026653
Bd1200	nucleotide-utilizing enzyme	NP_968115.1	37.8724697	68.84047334
Bd1201	isovaleryl-CoA dehydrogenase	NP_968116.1	0.704368206	258.0062532
Bd1203	putative RNA methylase	NP_968117.1	0.421442065	124.2505877
Bd1204	protein-tyrosine phosphatase 2	NP_968118.1	1.370403448	57.39001712
Bd1205	hypothetical protein	NP_968119.1	5.557222259	104.7268864
Bd1206	methyltransferase	NP_968120.1	1.157754637	102.7874996
Bd1207	lipoprotein	NP_968121.1	2.556463285	1863.701478
Bd1208	hypothetical protein	NP_968122.1	5.995515086	245.0553731
Bd1209	hypothetical protein	NP_968123.1	0.46631784	337.4533007
Bd1210	hypothetical protein	NP_968124.1	164.3026262	25.84748686
Bd1211	hypothetical protein	NP_968125.1	56.97556155	328.9317527
Bd1212	hypothetical protein	NP_968126.1	211.5217722	191.2235371
Bd1213	hypothetical protein	NP_968127.1	1.642249784	7.335941319
Bd1214	hypothetical protein	NP_968128.1	0	28.59773735
Bd1215	hypothetical protein	NP_968129.1	0.815584238	10.92966156
Bd1218	hypothetical protein	NP_968130.1	2.99182139	8.352804472
Bd1219	hypothetical protein	NP_968131.1	15.52672523	14.67188264
Bd1220	hypothetical protein	NP_968132.1	815.2638303	3.805864293
Bd1221	ABC-type dipeptide transport system| ATPase	NP_968133.1	15.90389265	530.4529077
Bd1223	glucokinase	NP_968134.1	0.627567934	92.51056218
Bd1224	alpha-amylase	NP_968135.1	0.837627056	33.67517346
Bd1225	ABC-type maltose transport| ATP binding	NP_968136.1	1.447193297	82.42393838
Bd1226	maltose/maltodextrin ABC transporter permease	NP_968137.1	0	43.26324368
Bd1227	maltose/maltodextrin transport permease	NP_968138.1	0.548908193	17.47033437
Bd1228	pullulanase	NP_968139.1	0.113428664	42.18166259
Bd1230	maltoporin precursor	NP_968140.1	1.124159079	64.02573785
Bd1231	hypothetical protein	NP_968141.1	1.39895352	16.40397989
Bd1232	putative pirin-related protein	NP_968142.1	0.336871751	32.72958435
Bd1233	AMP nucleosidase	NP_968143.1	9.760140838	868.4844638
Bd1234	hypothetical protein	NP_968144.1	0.645670855	428.3061124
Bd1235	hypothetical protein	NP_968145.1	5.036232672	2827.108763
Bd1236	DNA-binding stress protein	NP_968146.1	2.398206034	102.4411806
Bd1237	amino-acid ABC transporter	NP_968147.1	2.456698865	17.832898
Bd1238	hypothetical protein	NP_968148.1	11843.13529	90.76330156
Bd1239	carboxy-terminal processing protease	NP_968149.1	287.6415477	11.752105
Bd1240	hypothetical protein	NP_968150.1	1570.522266	44.22931611
Bd1242	hypothetical protein	NP_968151.1	384.4283228	0.825069195
Bd1243	putative integral membrane protein	NP_968152.1	357.5242491	0
Bd1244	hypothetical protein	NP_968153.1	76.38849557	174.3886185
Bd1247	hypothetical protein	NP_968154.1	549.9465101	8.880350018
Bd1248	hypothetical protein	NP_968155.1	0	0
Bd1249	hypothetical protein	NP_968156.1	0	0
Bd1251	1-pyrroline-5 carboxylate dehydrogenase	NP_968157.1	20.80071684	72.77731408
Bd1253	hypothetical protein	NP_968158.1	2.569506465	12.0519036
Bd1254	phosphoglycerate mutase	NP_968159.1	2.456698865	12.34585246
Bd1255	heat-shock protein HSP33 homologue	NP_968160.1	24.84541452	151.8539853
Bd1256	hypothetical protein	NP_968161.1	119.5038261	62.91502216
Bd1257	hypothetical protein	NP_968162.1	280.6786855	10.15591329
Bd1258	hypothetical protein	NP_968163.1	1.262213702	0.845747621
Bd1259	hypothetical protein	NP_968164.1	1.361143965	16.72065904
Bd1260	hypothetical protein	NP_968165.1	2.001152055	25.70008581
Bd1261	hypothetical protein	NP_968166.1	1.809424912	54.55831807
Bd1262	hypothetical protein	NP_968167.1	0.41794462	8.401326988
Bd1264	3-isopropylmalate dehydrogenase	NP_968168.1	0.904712456	64.66171031
Bd1265	metallo proteinase related protein	NP_968169.1	0.470675951	0
Bd1266	hypothetical protein	NP_968170.1	0	306.7757279
Bd1267	hypothetical protein	NP_968171.1	12.33363103	1205.19036
Bd1268	hypothetical protein	NP_968172.1	5.412773433	360.3181271
Bd1269	hypothetical protein	NP_968173.1	66.89347214	110.767114
Bd1270	hypothetical protein	NP_968174.1	8.552093217	1629.963113
Bd1271	putative periplasmic protease	NP_968175.1	4.796412069	1850.254152
Bd1272	hypothetical protein	NP_968176.1	9.266668117	43.19402249
Bd1273	hypothetical protein	NP_968177.1	372.7497379	27.54720822
Bd1274	hypothetical protein	NP_968178.1	27.27553478	58.74428832
Bd1275	hypothetical protein	NP_968179.1	2.189666379	58.68753055
Bd1276	transglycosylase associated protein	NP_968180.1	3.083407759	106.7454318
Bd1277	DNA mismatch repair protein	NP_968181.1	1.296327586	65.57972767
Bd1278	carbon-nitrogen hydrolase: apolipoprotein	NP_968182.1	0.183804112	216.1425338
Bd1279	hypothetical protein	NP_968183.1	2.57325757	1392.918551
Bd1280	hypothetical protein	NP_968184.1	2.962489807	337.4533007
Bd1281	hypothetical protein	NP_968185.1	4.625111638	294.4107878
Bd1282	hypothetical protein	NP_968186.1	25.77787339	35.18470434
Bd1283	Serine protease/subtilase	NP_968187.1	2961.692214	11.53686498
Bd1284	hypothetical protein	NP_968188.1	0	0
Bd1285	soluble lytic murein transglycosylase	NP_968189.1	17.50562159	147.9741746
Bd1287	heat shock protein HtpX	NP_968190.1	268.4867853	1109.420049
Bd1288	ATP-dependent Clp protease subunit	NP_968191.1	83.22423103	28.66398693
Bd1289	hypothetical protein	NP_968192.1	93.71772103	70.42503666
Bd1290	fimbrial protein pilA	NP_968193.1	1442.841109	144.875239
Bd1291	hypothetical protein	NP_968194.1	26.39073889	39.78707039
Bd1292	hypothetical protein	NP_968195.1	0	0
Bd1293	hypothetical protein	NP_968196.1	0	0
Bd1294	hypothetical protein	NP_968197.1	0	9.734229827
Bd1295	hypothetical protein	NP_968198.1	1.071538866	14.35971492
Bd1296	DnaJ protein	NP_968199.1	0.541530395	112.4844336
Bd1297	hypothetical protein	NP_968200.1	0	115.2279563
Bd1298	chaperone protein dnaK	NP_968201.1	695.6000362	1390.540325
Bd1300	hypothetical protein	NP_968202.1	51.62771182	123.7894018
Bd1301	metallo-beta-lactamase superfamily protein	NP_968203.1	200.396436	150.5018205
Bd1302	putative molybdopterin biosynthesis protein	NP_968204.1	351.6036514	81.23875757
Bd1303	hypothetical protein	NP_968205.1	394.9845339	62.6698987
Bd1304	hypothetical protein	NP_968206.1	141.1515552	22.95600685
Bd1305	putative permease	NP_968207.1	128.6176344	5.191589241
Bd1306	acetyl coenzyme A synthetase	NP_968208.1	11.5381182	49.62548539
Bd1307	hypothetical protein	NP_968209.1	6.867590008	649.9810735
Bd1309	nitrogen regulation protein nifR3	NP_968210.1	1.426694808	216.0465891
Bd1310	glutaredoxin	NP_968211.1	3.052262226	685.132459
Bd1311	methyltransferase-related protein	NP_968212.1	0.459929924	271.1953467
Bd1312	hypothetical protein	NP_968213.1	1.325324387	21.31284004
Bd1313	hypothetical protein	NP_968214.1	1.760920515	189.96497
Bd1314	dihydrouridine synthase family protein	NP_968215.1	0.62175712	48.95155905
Bd1315	hypothetical protein	NP_968216.1	0	222.76329
Bd1316	hypothetical protein	NP_968217.1	0	194.2912943
Bd1317	oxidoreductase	NP_968218.1	0.786911355	98.86327168
Bd1318	fumarate hydratase	NP_968219.1	0	32.51691334
Bd1319	hypothetical protein	NP_968220.1	2.914861354	347.2188303
Bd1320	hypothetical protein	NP_968221.1	10.27802586	1189.121155
Bd1321	ATP-dependent DNA helicase	NP_968222.1	2.394642578	129.866872
Bd1322	putative sensory protein	NP_968223.1	10.87116304	38.65103884
Bd1323	pseudouridine synthase Rlu family protein	NP_968224.1	2.639073889	44.20785598
Bd1324	hypothetical protein	NP_968225.1	10.29303028	96.06334837
Bd1325	hypothetical protein	NP_968226.1	0	35.73034948
Bd1326	chromosome partitioning protein parA	NP_968227.1	0.649836474	318.9477971
Bd1327	hypothetical protein	NP_968228.1	0.496180559	526.9590952
Bd1328	BolA-like protein	NP_968229.1	0.90742931	130.7251525
Bd1329	hypothetical protein	NP_968230.1	0	237.2398962
Bd1330	hypothetical protein	NP_968231.1	2.315509275	1718.296692
Bd1332	putative ABC transporter ATP-binding protein	NP_968232.1	3.255015731	573.1253545
Bd1333	hypothetical protein	NP_968233.1	677.5363379	111.675193
Bd1334	cell wall surface anchor family protein	NP_968234.1	2297.08168	6.737348885
Bd1335	histidine kinase	NP_968235.1	81.4417806	3.800149782
Bd1336	hypothetical protein	NP_968236.1	3.73054272	4.999308158
Bd1337	hypothetical protein	NP_968237.1	340.7493595	9850.764437
Bd1338	hypothetical protein	NP_968238.1	16.58994292	768.864187
Bd1339	S-adenosyl-L-homocysteine hydrolase	NP_968239.1	30.72955529	1448.475397
Bd1340	putative methyl accepting chemotaxis protein	NP_968240.1	415.0158653	8.880350018
Bd1341	putative disulphide-isomerase	NP_968241.1	44.94702277	94.94653801
Bd1342	putative DNA alkylation repair enzyme	NP_968242.1	18.6527136	45.52941358
Bd1343	hypothetical protein	NP_968243.1	2.973421504	102.1076408
Bd1344	hypothetical protein	NP_968244.1	41.7638807	427.9895521
Bd1346	oligoribonuclease	NP_968245.1	219.1905811	1259.697833
Bd1347	putative response regulatory protein	NP_968246.1	192.891003	271.2859868
Bd1348	putative cation-transporting ATPase	NP_968247.1	38.31916164	597.8792175
Bd1349	putative amino acid ABC transporter	NP_968248.1	6.904512535	499.3764571
Bd1350	hypothetical protein	NP_968249.1	3.395213038	580.1163484
