"GENE_NAME"	"E0"	"M45"	"J45"	"T45"	"M90"	"J90"	"T90"	"M45/E0"	"J45/E0"	"T45/E0"	"M90/E0"	"J90/E0"	"T90/E0"	"FUNCTION"	"MAPLOC"	
LA1138	1.175	1.037	0.7	0.788	0.958	0.84	0.869	0.88	0.6	0.67	0.82	0.71	0.74	hypothetical protein	1142614-1143927	
LA1139	0.814	0.878	0.658	0.692	0.921	0.779	0.622	1.08	0.81	0.85	1.13	0.96	0.76	Phosphatidylglycerophosphate synthase	1143918-1144670	
LA1140	1.16	1.098	1.411	1.367	1.461	1.083	1.6	0.95	1.22	1.18	1.26	0.93	1.38	Anthranilate phosphoribosyltransferase	1144645-1145655	
LA1141	2.626	1.951	1.435	1.467	1.808	1.016	1.374	0.74	0.55	0.56	0.69	0.39	0.52	hypothetical protein	1145711-1146037	
LA1142	3.536	1.486	4.276	4.211	1.859	1.886	4.039	0.42	1.21	1.19	0.53	0.53	1.14	Preprotein translocase subunit SecD	1146815-1148719	
LA1143	1.537	1.081	1.422	1.083	1.226	1.071	1.419	0.7	0.93	0.7	0.8	0.7	0.92	Preprotein translocase subunit SecF	1148694-1149662	
LA1144	1.095	0.937	1.644	1.37	0.97	0.989	1.076	0.86	1.5	1.25	0.89	0.9	0.98	Riboflavin biosynthesis protein D	1149662-1151062	
LA1145	1.641	1.266	1.986	2.38	2.11	1.279	2.067	0.77	1.21	1.45	1.29	0.78	1.26	riboflavin synthase subunit alpha	1151032-1151649	
LA1146	0.783	0.76	0.393	0.36	0.562	0.641	0.48	0.97	0.5	0.46	0.72	0.82	0.61	hypothetical protein	1151808-1151924	
LA1147	8.174	6.7	3.996	6.938	6.564	2.779	5.069	0.82	0.49	0.85	0.8	0.34	0.62	Riboflavin biosynthesis protein A	1153293-1154498	
LA1148	1.236	0.897	1.824	1.479	0.877	0.893	2.275	0.73	1.48	1.2	0.71	0.72	1.84	hypothetical protein	1154747-1154851	
LA1149	0.723	0.841	0.442	0.527	0.575	0.56	0.537	1.16	0.61	0.73	0.8	0.77	0.74	hypothetical protein	1154994-1155119	
LA1150	0.601	0.672	0.326	0.325	0.523	0.507	0.256	1.12	0.54	0.54	0.87	0.84	0.43	hypothetical protein	1155103-1155225	
LA1151	1.439	1.093	3.12	2.741	1.314	1.405	3.184	0.76	2.17	1.9	0.91	0.98	2.21	hypothetical protein	1155459-1155734	
LA1152	1.02	1.036	1.38	1.26	0.988	1.012	1.317	1.02	1.35	1.24	0.97	0.99	1.29	hypothetical protein	1155958-1156644	
LA1153	0.551	0.677	0.167	0.309	0.422	0.567	0.13	1.23	0.3	0.56	0.77	1.03	0.24	hypothetical protein	1156856-1157200	
LA1154	0.59	0.708	0.156	0.323	0.409	0.51	0.129	1.2	0.26	0.55	0.69	0.86	0.22	hypothetical protein	1158521-1158628	
LA1155	1.078	2.268	0.856	1.053	1.376	0.871	0.906	2.1	0.79	0.98	1.28	0.81	0.84	sulfate-binding protein precursor	1158629-1159636	
LA1156	0.83	0.981	0.542	0.625	0.834	0.793	0.669	1.18	0.65	0.75	1	0.96	0.81	Sulfate transport system permease protein cysT	1159655-1160500	
LA1157	2.252	1.41	5.225	5.068	1.888	2.166	4.18	0.63	2.32	2.25	0.84	0.96	1.86	Sulfate transport system permease protein cysW	1160497-1161336	
LA1158	1.71	3.308	2.881	3.08	1.738	1.338	2.58	1.93	1.68	1.8	1.02	0.78	1.51	probable ABC transporter	1161512-1162408	
LA1159	1.519	1.057	3.846	3.491	1.394	1.32	2.765	0.7	2.53	2.3	0.92	0.87	1.82	putative outermembrane protein	1162939-1164147	
LA1160	0.873	0.796	0.748	0.699	0.786	0.69	0.95	0.91	0.86	0.8	0.9	0.79	1.09	hypothetical protein	1165353-1165541	
LA1161	1.012	0.998	1.381	1.43	0.939	1.113	1.418	0.99	1.36	1.41	0.93	1.1	1.4	long-chain fatty acid transport protein	1165784-1167241	
LA1162	0.925	0.942	0.915	0.867	0.867	0.881	1.161	1.02	0.99	0.94	0.94	0.95	1.26	hypothetical protein	1167288-1168406	
LA1163	0.916	0.93	0.806	0.744	1.009	0.967	1.003	1.02	0.88	0.81	1.1	1.06	1.09	hypothetical protein	1168411-1169076	
LA1164	0.943	0.958	0.873	1.236	0.921	0.934	0.953	1.02	0.93	1.31	0.98	0.99	1.01	Probable serine/threonine-protein kinase	1169086-1174365	
LA1165	0.63	0.757	0.194	0.327	0.438	0.523	0.192	1.2	0.31	0.52	0.7	0.83	0.3	hypothetical protein	1174654-1174761	
LA1166	0.794	0.916	0.524	0.835	0.803	0.701	0.54	1.15	0.66	1.05	1.01	0.88	0.68	Pyridoxamine 5'-phosphate oxidase	1174787-1175431	
LA1167	0.737	0.877	0.384	0.551	0.77	0.787	0.521	1.19	0.52	0.75	1.04	1.07	0.71	hypothetical protein	1175584-1176018	
LA1168	0.818	0.87	0.744	0.729	0.741	0.675	0.577	1.06	0.91	0.89	0.91	0.83	0.71	putative outermembrane protein	1176015-1176434	
LA1169	0.61	0.708	0.324	0.315	0.42	0.617	0.213	1.16	0.53	0.52	0.69	1.01	0.35	hypothetical protein	1176663-1176794	
LA1170	0.797	0.76	0.521	0.337	0.56	0.714	0.385	0.95	0.65	0.42	0.7	0.9	0.48	hypothetical protein	1176682-1176819	
LA1171	0.636	0.861	0.269	0.405	0.515	0.685	0.241	1.35	0.42	0.64	0.81	1.08	0.38	hypothetical protein	1177140-1177307	
LA1172	1.058	0.883	1.688	1.765	0.847	1.141	1.566	0.83	1.6	1.67	0.8	1.08	1.48	hypothetical protein	1177298-1177702	
LA1173	1.774	1.003	3.096	3.224	1.351	1.805	3.023	0.57	1.75	1.82	0.76	1.02	1.7	acetyl-CoA synthetase	1177835-1179817	
LA1174	1.466	1.716	2.014	2.007	2.386	1.808	1.674	1.17	1.37	1.37	1.63	1.23	1.14	amino acid ABC transporter. periplasmic amino acid-binding protein	1180324-1181316	
LA1175	1.103	1.337	1.279	1.328	1.379	1.152	1.237	1.21	1.16	1.2	1.25	1.04	1.12	DNA mismatch repair protein	1181483-1183303	
LA1176	1.238	1.133	2.832	2.294	1.267	1.525	2.576	0.92	2.29	1.85	1.02	1.23	2.08	dedA protein	1183272-1183892	
LA1177	0.736	0.893	0.561	0.478	0.671	0.726	0.378	1.21	0.76	0.65	0.91	0.99	0.51	putative outermembrane protein	1184016-1184384	
LA1178	1.551	1.605	2.04	1.808	0.911	1.161	1.389	1.03	1.32	1.17	0.59	0.75	0.9	hypothetical protein	1184588-1184815	
LA1179	2.18	1.432	4.795	5.133	1.667	2.018	3.415	0.66	2.2	2.35	0.76	0.93	1.57	Uncharacterized ATPase related to the helicase subunit of the Holliday junction resolvase	1184812-1186083	
LA1180	1.039	1.366	1.305	1.097	0.798	0.947	0.92	1.31	1.26	1.06	0.77	0.91	0.89	hypothetical protein	1186084-1186401	
LA1181	0.542	0.641	0.153	0.295	0.395	0.534	0.127	1.18	0.28	0.54	0.73	0.99	0.23	hypothetical protein	1188183-1188308	
LA1182	1.288	1.188	1.94	1.735	1.453	1.575	1.592	0.92	1.51	1.35	1.13	1.22	1.24	histidinol-phosphate aminotransferase	1187072-1188184	
LA1183	0.61	0.744	0.191	0.324	0.46	0.59	0.169	1.22	0.31	0.53	0.75	0.97	0.28	hypothetical protein	1188314-1188496	
LA1184	1.236	1.178	2.045	2.183	1.144	1.175	1.554	0.95	1.65	1.77	0.93	0.95	1.26	adenylate cyclase	1188498-1190090	
LA1185	2.96	2.1	5.528	5.672	1.658	2.179	4.031	0.71	1.87	1.92	0.56	0.74	1.36	Response regulator receiver domain	1190272-1191981	
LA1186	1.156	1.85	1.487	2.358	1.753	1.064	1.704	1.6	1.29	2.04	1.52	0.92	1.47	two-component response regulator	1192102-1192491	
LA1187	0.697	0.676	0.459	0.327	0.476	0.632	0.344	0.97	0.66	0.47	0.68	0.91	0.49	hypothetical protein	1192788-1192916	
LA1188	0.99	1.426	1.128	1.018	0.838	1.116	1.108	1.44	1.14	1.03	0.85	1.13	1.12	putative outermembrane protein	1193647-1194096	
LA1189	1.232	1.809	1.124	1.146	2.234	1.15	1.141	1.47	0.91	0.93	1.81	0.93	0.93	probable sigma-54 modulation protein	1194261-1194548	
LA1190	0.717	0.983	0.238	0.412	0.598	0.638	0.247	1.37	0.33	0.57	0.83	0.89	0.34	hypothetical protein	1194600-1195541	
LA1191	1.098	1.276	1.285	1.394	1.027	1.056	1.499	1.16	1.17	1.27	0.94	0.96	1.37	Methyl-accepting chemotaxis protein	1195570-1197645	
LA1192	1.27	1.026	2.055	1.618	1.006	1.142	1.616	0.81	1.62	1.27	0.79	0.9	1.27	putative outermembrane protein	1197671-1199242	
LA1193	0.635	0.76	0.307	0.377	0.537	0.678	0.264	1.2	0.48	0.59	0.85	1.07	0.42	hypothetical protein	1199298-1199474	
LA1194	0.593	0.732	0.178	0.319	0.445	0.568	0.149	1.23	0.3	0.54	0.75	0.96	0.25	hypothetical protein	1200017-1200139	
LA1195	0.724	0.912	0.364	0.472	0.621	0.684	0.34	1.26	0.5	0.65	0.86	0.94	0.47	hypothetical protein	1201218-1201628	
LA1196	0.921	0.997	1.13	1.087	0.958	1.076	0.97	1.08	1.23	1.18	1.04	1.17	1.05	hypothetical protein	1200110-1201255	
LA1197	1.046	0.947	1.454	1.203	1.051	1.141	1.284	0.91	1.39	1.15	1	1.09	1.23	putative regulation protein	1201594-1202985	
LA1198	5.259	3.888	3.852	3.578	2.462	1.807	3.326	0.74	0.73	0.68	0.47	0.34	0.63	enoyl-CoA hydratase	1202993-1203766	
LA1199	0.534	0.63	0.159	0.304	0.378	0.526	0.127	1.18	0.3	0.57	0.71	0.99	0.24	hypothetical protein	1203969-1204157	
LA1200	0.844	0.973	0.789	0.69	0.609	0.849	0.64	1.15	0.93	0.82	0.72	1.01	0.76	hypothetical protein	1204195-1204551	
LA1201	0.821	0.816	1.003	1.156	1.024	0.911	1.063	0.99	1.22	1.41	1.25	1.11	1.29	hypothetical protein	1205291-1205410	
LA1202	8.912	8.284	2.298	2.331	5.203	1.654	1.768	0.93	0.26	0.26	0.58	0.19	0.2	hypothetical protein	1204652-1205317	
LA1203	1.519	1.147	3.015	2.249	1.491	1.523	2.566	0.76	1.98	1.48	0.98	1	1.69	alginate o-acetyltransferase	1205434-1206888	
LA1204	2.146	1.262	3.186	2.934	1.58	1.587	2.964	0.59	1.48	1.37	0.74	0.74	1.38	hypothetical protein	1207021-1207380	
LA1205	3.069	3.175	2.605	2.553	2.807	1.618	2.57	1.03	0.85	0.83	0.91	0.53	0.84	Probable RNA polymerase ECF-type sigma factor	1207444-1208064	
LA1206	1.225	1.282	0.695	0.922	1.789	0.895	0.908	1.05	0.57	0.75	1.46	0.73	0.74	hypothetical protein	1208045-1208632	
LA1207	2.573	1.535	7.026	6.661	2.101	1.964	4.174	0.6	2.73	2.59	0.82	0.76	1.62	4-hydroxybenzoyl-CoA thioesterase	1209323-1209745	
LA1208	0.634	0.782	0.262	0.362	0.49	0.601	0.243	1.23	0.41	0.57	0.77	0.95	0.38	hypothetical protein	1209786-1209899	
LA1209	1.261	1.312	2.957	3.346	1.681	1.71	2.72	1.04	2.34	2.65	1.33	1.36	2.16	hypothetical protein	1209905-1211263	
LA1210	1.12	1.24	1.836	1.747	1.259	1.631	1.824	1.11	1.64	1.56	1.12	1.46	1.63	hypothetical protein	1212045-1212608	
LA1211	0.96	1.027	1.585	1.394	1.03	1.191	1.356	1.07	1.65	1.45	1.07	1.24	1.41	hypothetical protein	1211250-1212095	
LA1212	0.865	1.249	0.959	1.109	1.115	1.091	0.759	1.44	1.11	1.28	1.29	1.26	0.88	Universal stress protein UspA and related nucleotide-binding proteins	1212609-1213091	
LA1213	0.711	0.869	0.348	0.606	0.698	0.647	0.363	1.22	0.49	0.85	0.98	0.91	0.51	hypothetical protein	1213202-1214032	
LA1214	0.949	0.945	0.948	1.044	1.058	0.938	0.928	1	1	1.1	1.11	0.99	0.98	Methyl-accepting chemotaxis protein tlpB	1215312-1217114	
LA1215	0.652	0.768	0.24	0.337	0.471	0.568	0.23	1.18	0.37	0.52	0.72	0.87	0.35	hypothetical protein	1217600-1217746	
LA1216	0.512	0.628	0.138	0.283	0.392	0.55	0.117	1.23	0.27	0.55	0.77	1.07	0.23	hypothetical protein	1217825-1217956	
LA1217	1.545	1.339	2.631	3.04	1.631	1.257	2.723	0.87	1.7	1.97	1.06	0.81	1.76	probable Acetyltransferase. GNAT family protein	1218314-1218919	
LA1218	0.994	0.925	2.162	1.758	0.685	0.832	1.416	0.93	2.18	1.77	0.69	0.84	1.42	hypothetical protein	1219492-1219623	
LA1219	1.058	1.015	1.643	1.505	0.934	0.92	1.279	0.96	1.55	1.42	0.88	0.87	1.21	Rhomboid family protein	1219650-1220504	
LA1220	1.869	1.811	2.484	2.781	1.56	1.408	2.153	0.97	1.33	1.49	0.83	0.75	1.15	Metallo-beta-lactamase superfamily protein	1220575-1221531	
LA1221	1.732	1.316	2.517	2.011	1.207	1.198	1.764	0.76	1.45	1.16	0.7	0.69	1.02	Penicillin-binding protein 1A	1221528-1223966	
LA1222	3.286	2.087	2.783	3.038	2.863	1.494	2.604	0.64	0.85	0.92	0.87	0.45	0.79	Dihydrolipoamide acyltransferase	1224054-1225313	
LA1223	4.739	4.124	3.132	3.536	3.461	1.737	3.313	0.87	0.66	0.75	0.73	0.37	0.7	dihydrolipoamide dehydrogenase	1225327-1226730	
LA1224	1.889	1.886	1.644	1.719	1.604	1.192	1.786	1	0.87	0.91	0.85	0.63	0.95	2-oxoglutarate dehydrogenase decarboxylase component	1226754-1229516	
LA1225	0.707	0.885	0.444	0.609	0.674	0.75	0.507	1.25	0.63	0.86	0.95	1.06	0.72	hypothetical protein	1229711-1229986	
LA1226	0.718	0.837	0.392	0.532	0.646	0.656	0.412	1.17	0.55	0.74	0.9	0.91	0.57	hypothetical protein	1230032-1230376	
LA1227	0.574	0.707	0.287	0.351	0.606	0.63	0.24	1.23	0.5	0.61	1.06	1.1	0.42	hypothetical protein	1230485-1230643	
LA1228	0.769	0.93	0.44	0.663	0.715	0.725	0.383	1.21	0.57	0.86	0.93	0.94	0.5	putative outermembrane protein	1230853-1231425	
LA1229	0.579	0.658	0.194	0.307	0.412	0.574	0.155	1.14	0.34	0.53	0.71	0.99	0.27	hypothetical protein	1231486-1231632	
LA1230	1.328	1.081	1.951	2.012	1.061	1.153	2.097	0.81	1.47	1.52	0.8	0.87	1.58	hypothetical protein	1232167-1233282	
LA1231	1.128	1.042	1.823	1.852	1.069	1.278	1.814	0.92	1.62	1.64	0.95	1.13	1.61	Heat shock protein htpG	1233279-1235090	
LA1232	0.541	0.639	0.165	0.3	0.406	0.635	0.144	1.18	0.3	0.55	0.75	1.17	0.27	hypothetical protein	1235630-1235737	
LA1233	7.288	3.187	15.48	11.583	3.361	5.259	12.942	0.44	2.12	1.59	0.46	0.72	1.78	transposase	1235783-1236856	
LA1234	0.979	0.9	2.104	2.081	1.048	1.247	1.698	0.92	2.15	2.13	1.07	1.27	1.73	hypothetical protein	1237477-1238694	
LA1235	0.981	1.03	1.79	1.826	1.573	1.475	1.863	1.05	1.82	1.86	1.6	1.5	1.9	hypothetical protein	1238679-1239020	
LA1236	0.829	0.869	0.732	0.543	0.718	0.819	0.577	1.05	0.88	0.66	0.87	0.99	0.7	hypothetical protein	1239385-1239573	
LA1237	0.595	0.725	0.18	0.338	0.433	0.583	0.143	1.22	0.3	0.57	0.73	0.98	0.24	hypothetical protein	1240006-1240137	
LA1238	1.424	2.761	1.054	0.78	4.708	1.285	0.999	1.94	0.74	0.55	3.31	0.9	0.7	hypothetical protein	1240864-1241052	
LA1239	1.125	1.361	1.273	1.029	1.136	1.036	1.162	1.21	1.13	0.91	1.01	0.92	1.03	carbamoyl-phosphate synthase small subunit	1241058-1242149	
LA1240	0.837	0.952	0.381	0.59	0.741	0.707	0.397	1.14	0.46	0.7	0.89	0.84	0.47	threonyl-tRNA synthetase	1242400-1244316	
LA1241	1.093	0.935	1.11	0.993	1.063	0.89	1.276	0.86	1.02	0.91	0.97	0.81	1.17	hypothetical protein	1244405-1244611	
LA1242	4	7.419	1.088	2.452	7.586	2.02	1.459	1.85	0.27	0.61	1.9	0.51	0.36	Translation initiation factor IF3	1245801-1246340	
LA1243	2.826	5.863	0.862	0.909	4.274	1.062	0.968	2.07	0.31	0.32	1.51	0.38	0.34	ribosomal protein L35	1246373-1246576	
LA1244	1.699	2.866	0.765	1.305	5.728	1.845	1.092	1.69	0.45	0.77	3.37	1.09	0.64	50S ribosomal protein L20	1246576-1246929	
LA1245	4.704	7.536	3.666	3.864	2.247	2.838	4.224	1.6	0.78	0.82	0.48	0.6	0.9	probable transcription elongation	1247017-1247655	
LA1246	1.281	1.662	1.248	1.268	1.307	1.206	1.457	1.3	0.97	0.99	1.02	0.94	1.14	hypothetical protein	1247639-1247980	
LA1247	0.811	0.95	0.562	0.814	0.751	0.817	0.497	1.17	0.69	1	0.93	1.01	0.61	5-formyltetrahydrofolate cyclo-ligase	1248010-1248540	
LA1248	0.591	0.663	0.164	0.306	0.425	0.519	0.143	1.12	0.28	0.52	0.72	0.88	0.24	hypothetical protein	1248632-1248772	
LA1249	0.801	1.316	0.265	0.34	0.879	0.665	0.297	1.64	0.33	0.42	1.1	0.83	0.37	hypothetical protein	1248970-1249113	
LA1250	1.515	1.57	1.168	1.381	1.542	1.003	1.018	1.04	0.77	0.91	1.02	0.66	0.67	Chemotaxis protein cheW	1249110-1249643	
LA1251	2.408	3.778	2.918	2.573	3.499	1.645	2.385	1.57	1.21	1.07	1.45	0.68	0.99	Chemotaxis protein histidine kinase and related kinase	1249643-1252855	
LA1252	3.493	2.361	4.375	4.149	2.629	2.069	4.459	0.68	1.25	1.19	0.75	0.59	1.28	chemotaxis response regulator CheB	1252861-1253934	
LA1253	11.719	15.115	6.922	9.021	12.867	3.225	5.241	1.29	0.59	0.77	1.1	0.28	0.45	CheY-like protein	1253936-1254298	
LA1254	2.995	3.323	2.302	2.236	2.163	1.351	1.561	1.11	0.77	0.75	0.72	0.45	0.52	hypothetical protein	1254316-1255101	
LA1255	0.996	0.972	1.545	1.183	0.887	1.056	1.103	0.98	1.55	1.19	0.89	1.06	1.11	hypothetical protein	1255068-1255631	
LA1256	0.94	1.024	1.327	1.5	1.011	1.053	1.356	1.09	1.41	1.6	1.08	1.12	1.44	P-protein	1255609-1256715	
LA1257	0.767	0.822	0.581	0.756	0.834	0.757	0.573	1.07	0.76	0.99	1.09	0.99	0.75	Prephenate dehydrogenase	1256712-1257629	
LA1258	1.071	0.956	2.363	3.068	1.034	1.097	2.16	0.89	2.21	2.86	0.97	1.02	2.02	3-phosphoshikimate 1-carboxyvinyltransferase	1257610-1258932	
LA1259	0.879	0.919	0.928	0.839	0.644	0.84	0.809	1.05	1.06	0.95	0.73	0.96	0.92	Cytidylate kinase	1258859-1259614	
LA1260	5.731	5.532	5.691	6.022	6.245	3.288	3.912	0.97	0.99	1.05	1.09	0.57	0.68	Ribosomal protein S1	1259667-1261349	
LA1261	2.207	2.723	1.427	1.753	2.031	1.124	1.523	1.23	0.65	0.79	0.92	0.51	0.69	hypothetical protein	1261374-1262117	
LA1262	1.32	1.438	1.679	1.853	1.241	1.222	1.773	1.09	1.27	1.4	0.94	0.93	1.34	ATP phosphoribosyltransferase	1262114-1262734	
LA1263	1.27	1.955	1.273	0.791	1.518	1.09	1.131	1.54	1	0.62	1.2	0.86	0.89	Ribosomal protein L32	1263031-1263231	
LA1264	0.835	0.988	0.817	1.156	0.87	0.873	1.038	1.18	0.98	1.38	1.04	1.05	1.24	fatty acid/phospholipid synthesis protein	1263237-1264244	
LA1265	0.538	0.643	0.179	0.294	0.429	0.561	0.154	1.2	0.33	0.55	0.8	1.04	0.29	hypothetical protein	1264692-1264799	
LA1266	0.834	0.909	0.804	0.972	0.758	0.804	1.04	1.09	0.96	1.17	0.91	0.96	1.25	hypothetical protein	1265107-1265265	
LA1267	0.687	0.731	0.435	0.356	0.561	0.68	0.41	1.06	0.63	0.52	0.82	0.99	0.6	hypothetical protein	1265023-1265142	
LA1268	0.614	0.738	0.255	0.393	0.428	0.583	0.272	1.2	0.42	0.64	0.7	0.95	0.44	hypothetical protein	1265271-1265384	
LA1269	0.596	0.687	0.199	0.305	0.553	0.579	0.22	1.15	0.33	0.51	0.93	0.97	0.37	hypothetical protein	1265606-1265785	
LA1270	0.722	0.827	0.406	0.475	0.641	0.691	0.588	1.15	0.56	0.66	0.89	0.96	0.81	hypothetical protein	1265859-1266029	
LA1271	0.949	0.933	0.788	0.973	1.113	1.008	1.191	0.98	0.83	1.03	1.17	1.06	1.26	hypothetical protein	1266082-1266288	
LA1272	1.018	1.198	0.413	0.522	0.808	0.764	0.427	1.18	0.41	0.51	0.79	0.75	0.42	Predicted transcriptional regulator	1266483-1267034	
LA1273	0.941	1.163	0.559	0.715	2.193	0.967	0.82	1.24	0.59	0.76	2.33	1.03	0.87	hypothetical protein	1267951-1268451	
LA1274	0.57	0.691	0.169	0.316	0.425	0.482	0.15	1.21	0.3	0.55	0.75	0.85	0.26	hypothetical protein	1268607-1268729	
LA1275	0.565	0.681	0.182	0.307	0.413	0.496	0.145	1.21	0.32	0.54	0.73	0.88	0.26	hypothetical protein	1268788-1268904	
LA1276	0.788	0.898	0.49	0.652	0.69	0.819	0.519	1.14	0.62	0.83	0.88	1.04	0.66	putative sulfatase	1269050-1270963	
LA1277	0.582	0.727	0.159	0.312	0.439	0.599	0.133	1.25	0.27	0.54	0.75	1.03	0.23	hypothetical protein	1271338-1271451	
LA1278	0.759	0.863	0.554	0.675	0.511	0.619	0.644	1.14	0.73	0.89	0.67	0.82	0.85	hypothetical protein	1271773-1271985	
LA1279	0.71	0.653	0.376	0.31	0.496	0.758	0.558	0.92	0.53	0.44	0.7	1.07	0.79	hypothetical protein	1272207-1272344	
LA1280	1.336	1.151	1.885	1.73	1.172	1.233	1.754	0.86	1.41	1.29	0.88	0.92	1.31	sulfatase family protein	1272413-1274401	
LA1281	0.692	0.841	0.346	0.464	0.497	0.567	0.271	1.22	0.5	0.67	0.72	0.82	0.39	hypothetical protein	1274561-1274788	
LA1282	0.977	1.012	1.179	1.438	0.924	1.028	1.006	1.04	1.21	1.47	0.95	1.05	1.03	Transcriptional regulator. tetR family	1275022-1275777	
LA1283	0.987	1.033	0.987	0.874	1.106	1.003	1.163	1.05	1	0.89	1.12	1.02	1.18	hypothetical protein	1275808-1276623	
LA1284	0.886	0.899	1.048	1.11	0.91	0.998	1.17	1.01	1.18	1.25	1.03	1.13	1.32	Lipoprotein releasing system transmembrane protein lolC	1276623-1277861	
LA1285	0.826	0.89	0.68	0.962	0.891	0.943	1.007	1.08	0.82	1.16	1.08	1.14	1.22	putative ABC transporter. ATP-binding protein	1277851-1278576	
LA1286	1.287	0.873	1.671	1.646	1.213	1.406	1.797	0.68	1.3	1.28	0.94	1.09	1.4	hypothetical protein	1278625-1279857	
LA1287	0.866	0.853	0.835	0.527	0.643	0.851	0.56	0.98	0.96	0.61	0.74	0.98	0.65	hypothetical protein	1280153-1280263	
LA1288	1.027	0.938	2.538	1.44	0.908	1.104	1.246	0.91	2.47	1.4	0.88	1.07	1.21	hypothetical protein	1280271-1280432	
LA1289	1.207	1.027	1.894	1.556	1.197	1.561	1.767	0.85	1.57	1.29	0.99	1.29	1.46	hypothetical protein	1280448-1280699	
LA1290	0.731	0.893	0.415	0.564	0.671	0.709	0.452	1.22	0.57	0.77	0.92	0.97	0.62	hypothetical protein	1281139-1281558	
LA1291	0.727	0.882	0.359	0.552	0.637	0.728	0.429	1.21	0.49	0.76	0.88	1	0.59	hypothetical protein	1281515-1282126	
LA1292	0.76	0.789	0.744	0.709	0.824	0.728	0.572	1.04	0.98	0.93	1.08	0.96	0.75	Type III leader peptidase family protein	1282628-1283479	
LA1293	0.92	1.045	0.682	0.723	0.888	0.933	0.908	1.14	0.74	0.79	0.97	1.01	0.99	aminotransferase	1283463-1284563	
LA1294	0.623	0.798	0.192	0.333	0.455	0.523	0.159	1.28	0.31	0.53	0.73	0.84	0.26	hypothetical protein	1285664-1285798	
LA1295	0.947	1.034	1.203	1.234	1.27	1.076	1.275	1.09	1.27	1.3	1.34	1.14	1.35	hypothetical protein	1285872-1288775	
LA1296	0.698	0.768	0.525	0.462	0.676	0.72	0.514	1.1	0.75	0.66	0.97	1.03	0.74	hypothetical protein	1289106-1289231	
LA1297	1.393	1.063	3.018	2.974	1.532	1.187	2.595	0.76	2.17	2.13	1.1	0.85	1.86	hypothetical protein	1289319-1289897	
LA1298	0.563	0.646	0.174	0.304	0.402	0.517	0.14	1.15	0.31	0.54	0.71	0.92	0.25	hypothetical protein	1289993-1290112	
LA1299	1.001	0.989	1.407	1.473	0.92	1.015	1.313	0.99	1.41	1.47	0.92	1.01	1.31	Ankyrin repeat proteins	1290285-1292543	
LA1300	0.679	0.842	0.239	0.365	0.504	0.609	0.206	1.24	0.35	0.54	0.74	0.9	0.3	hypothetical protein	1292605-1292763	
LA1301	0.685	0.912	0.328	0.496	0.546	0.643	0.281	1.33	0.48	0.72	0.8	0.94	0.41	hypothetical protein	1292766-1292933	
LA1302	1.362	1.227	2.592	2.714	1.387	1.454	1.981	0.9	1.9	1.99	1.02	1.07	1.45	SsrA-binding protein	1293293-1293775	
LA1303	1.056	1.042	1.217	1.515	1.049	1.268	1.2	0.99	1.15	1.43	0.99	1.2	1.14	Probable GTP-binding protein engA	1293800-1295269	
LA1304	0.997	0.964	0.826	0.727	0.987	1.12	1.038	0.97	0.83	0.73	0.99	1.12	1.04	hypothetical protein	1295266-1295916	
LA1305	1.228	1.122	1.561	1.33	0.969	1.259	1.358	0.91	1.27	1.08	0.79	1.03	1.11	hypothetical protein	1295891-1296691	
LA1306	0.781	0.887	0.49	0.725	1.325	0.887	0.621	1.14	0.63	0.93	1.7	1.14	0.8	hypothetical protein	1296780-1296992	
LA1307	0.939	1.02	1.098	1.453	1.025	1.212	1.191	1.09	1.17	1.55	1.09	1.29	1.27	hypothetical protein	1298550-1300379	
LA1308	0.637	0.795	0.273	0.327	0.788	0.693	0.277	1.25	0.43	0.51	1.24	1.09	0.43	hypothetical protein	1300391-1300579	
LA1309	1.142	1.858	0.824	0.85	1.792	0.933	0.85	1.63	0.72	0.74	1.57	0.82	0.74	chromosome segregation protein	1300650-1303244	
LA1310	1.099	0.972	2.459	0.848	0.637	1.073	1.28	0.88	2.24	0.77	0.58	0.98	1.16	hypothetical protein	1303367-1303897	
LA1311	0.554	0.687	0.152	0.311	0.397	0.448	0.125	1.24	0.27	0.56	0.72	0.81	0.23	hypothetical protein	1304354-1304485	
LA1312	1.923	12.8	0.721	1.505	10.077	2.021	1.308	6.66	0.37	0.78	5.24	1.05	0.68	hypothetical protein	1304464-1304754	
LA1313	6.746	6.14	1.134	1.246	5.599	1.632	1.656	0.91	0.17	0.18	0.83	0.24	0.25	Glutamine synthetase	1306526-1307947	
LA1314	0.71	0.892	0.454	0.489	0.644	0.761	0.353	1.26	0.64	0.69	0.91	1.07	0.5	hypothetical protein	1307931-1308233	
LA1315	1.061	0.947	1.565	0.992	0.701	0.854	1.125	0.89	1.48	0.93	0.66	0.8	1.06	hypothetical protein	1308257-1308376	
LA1316	1.308	0.903	2.952	1.207	1.015	1.101	2.08	0.69	2.26	0.92	0.78	0.84	1.59	hypothetical protein	1308390-1308497	
LA1317	1.18	1.133	1.589	1.838	1.163	1.036	1.644	0.96	1.35	1.56	0.99	0.88	1.39	hypothetical protein	1308724-1309281	
LA1318	0.71	0.812	0.664	0.425	0.548	0.632	0.458	1.14	0.94	0.6	0.77	0.89	0.65	hypothetical protein	1309421-1309561	
